,title,video_id,published_date,description,views,liked,disliked,comment_count,polarity,subjectivity
0,"Big Mirinda, Pepsi and Coca Cola Cans, Sprite, 7up, Different Fanta vs Mentos Underground",2WCGkw2uSog,2021-04-23T05:30:01Z,CocaCola #Mirinda #Pepsi.,2530331,14706,5447,291,0.0,0.0
1,"Fanta, Coca Cola, Sprite, Pepsi, Mirinda, Schweppes and Many Other Sodas vs Mentos Underground",Uama9E16-5U,2020-11-17T07:00:04Z,Fanta #Mentos #CocaCola.,NA,NA,NA,NA,0.0,0.0
2,Pepsi - Why Not Meri Jaan ft. Young Stunners | First Look,7C_lcN-u-tQ,2021-08-25T10:26:26Z,A question that voices a new way to look at life finds two new voices. Coming soon. #WhyNotMeriJaan.,1252,360,5,61,0.13636363636363635,0.45454545454545453
3,"Giant Coca Cola, Fanta, Sprite and Big Pepsi, Mirinda, 7up, Chupa Chups vs Mentos Underground",GR3Bm1s9iEc,2021-08-23T21:35:23Z,"Giant Coca Cola, Fanta, Sprite and Big Pepsi, Mirinda, 7up, Chupa Chups vs Mentos Underground.",NA,NA,NA,NA,0.0,0.55
4,"Volcano Eruption! Big Coca Cola, Fanta, Pepsi, Sprite vs Mentos Underground!",CWquu1HDcsI,2020-07-21T09:29:19Z,CocaCola #Fanta #Pepsi.,31300354,243985,47032,4411,0.0,0.0
5,"Experiment: Coca-Cola, Fanta, Sprite, Pepsi vs Orbeeze vs Mentos Underground",W58-gkNU2h0,2020-03-22T00:30:00Z,Our new experiment is a Super Reaction - Elephant Toothpaste in a giant hole underground! #elephanttoothpaste #experiment #cola #fanta #pepsi #sprite We ...,153864737,780107,244505,12641,0.15656565656565655,0.7070707070707071
6,"Football VS Orbeez, Coca Cola, Pepsi Light, Fanta, Mirinda, Sprite and Mentos in the Underground",baic_ctHeDc,2021-08-24T07:30:55Z,"Football VS Orbeez, Coca Cola, Pepsi Light, Fanta, Mirinda, Sprite and Mentos in the Underground.",642427,3998,1956,59,0.4,0.7
7,Har Ghoont Mein Swag | Tiger Shroff | Disha Patani | Badshah | Ahmed Khan | Bhushan Kumar,I5cPOd9aCUc,2019-04-07T10:32:49Z,"Presenting Har Ghoont Mein Swag featuring Tiger Shroff and Disha Patani. Composed, written and in the voice of Badshah. Directed by Ahmed Khan. A Pepsi ...",195171174,1126396,148147,30783,0.0,0.0
8,ДЕТИ RAVE - PEPSI (Visual Audio),j-n4hzCxqqM,2019-10-17T10:47:00Z,Follow ДЕТИ RAVE: Spotify - https://open.spotify.com/artist/73AXOp3t6ik1YiJjINRvMm Instagram - https://www.instagram.com/deti.rave/ Facebook: ...,1253439,18040,347,383,0.0,0.0
9,Experiment: Coca Cola VS Mentos &amp; Pepsi VS Mentos,PYhfeBDaJyo,2019-10-19T13:00:04Z,Watch other experiments: Giant Coca Cola Balloon VS Mentos - https://youtu.be/9jCVTQb26ZE Coca Cola VS Mentos & Sprite VS Mentos ...,13169912,166285,19247,3987,0.0,1.0
10,Pepsi - Tameez Se Jawaab? | Why Not Meri Jaan,cFv-2-mmFO4,2021-07-21T15:04:34Z,Agar badtameezi ka jawaab tameez se diya jaa sakta hai toh #WhyNotMeriJaan #PepsiBus #NewRefreshingTaste.,4981265,1591,651,50,0.0,0.0
11,"Giant Coca Cola, Fanta, Sprite and Big Pepsi, Mirinda, 7up, Chupa Chups vs Mentos Underground",9xvP-RcWkdc,2021-08-24T17:28:46Z,"Giant Coca Cola, Fanta, Sprite and Big Pepsi, Mirinda, 7up, Chupa Chups vs Mentos Underground.",NA,NA,NA,NA,0.0,0.55
12,Strings | Najanay Kyun / Bichra Yaar | Pepsi Battle of the Bands | Season 3,YXY1Gichwws,2018-07-28T16:13:59Z,"The dynamic-duo of Strings is undoubtedly one of the most internationally-recognized bands of the country! Setting the stage on fire with their iconic songs, ...",3072861,28774,1113,2586,0.5,0.5
13,"Coca Cola, Different Fanta, Mtn Dew, Pepsi, Sprite and mouth vs Mentos in Big Underground",MdZZB23OKEI,2020-09-16T07:12:48Z,"Coca Cola, Different Fanta, Mtn Dew, Pepsi, Sprite and mouth vs Mentos in Big Underground.",NA,NA,NA,NA,0.0,0.35
14,[MV] RAIN(비) X MONSTA X(몬스타엑스) X Brave Girls(브레이브걸스) X ATEEZ(에이티즈) - Summer Taste,VHA1jgEj-dc,2021-07-14T09:00:26Z,PEPSIxSTARSHIP] 2021 #PEPSI X #STARSHIP K-POP PARTNER #비 X #몬스타엑스 X #브레이브걸스 X #에이티즈 #SUMMER_TASTE #MV #RAIN ...,1094999,130919,422,10986,0.0,0.0
15,"Giant Coca Cola, Fanta, Sprite and Big Pepsi, Mirinda, 7up, Chupa Chups vs Mentos Underground",2I3UuhKEQ6o,2021-04-22T05:30:00Z,Giant #Coca Cola #Mentos.,51599433,404578,107459,6112,0.0,1.0
16,CHOTU DADA PEPSI WALA | छोटू दादा पेप्सी वाला | Khandesh Hindi Comedy | Chhotu Comedy Video,FJ62kjqi-6M,2021-08-15T06:01:25Z,छोटू दादा लेकर आगया है पेप्सी और छोटू दादा के कॉम्पिटिशन में पहलवान ने भी लेकर आगया है बहोत सारी पेप्सी फिर छोटू ...,15525666,118915,29888,2416,0.0,0.0
17,"Coca Cola, Different Fanta, Slime toys, Pepsi,Stretch Armstrong vs Mentos in Big Underground",Dceoq3kLdtI,2021-08-23T21:37:13Z,"Coca Cola, Different Fanta, Slime toys, Pepsi,Stretch Armstrong vs Mentos in Big Underground.",NA,NA,NA,NA,0.0,0.35
18,Najanay Kyun/Mera Bichraa Yaar (Live) - Strings - Pepsi Battle of the Bands Season 3,uO2bWGrbvH8,2020-08-02T13:35:19Z,Najanay Kyun/Mera Bichraa Yaar - (Pepsi Battle of the Bands Season 3) #StringsPakistan #PepsiBattleoftheBands #NajanayKyun #MeraBichraaYaar ...,450641,5673,115,388,0.0,0.0
19,"Pepsi Football Compilation ● ft. Ronaldinho, Beckham, Roberto Carlos, Henry, Messi, Luis Suárez",y7Vc-SCgbbo,2017-07-21T15:30:03Z,"Amazing Compilation of Legendary PEPSI Commercials 2002 - 2012 featuring Ronaldinho, David Beckham, Thierry Henry, Lionel Messi, Roberto Carlos, ...",24478848,120973,9793,1441,0.8,0.95
20,PURPOSE RAP - Young Stunners | PepsiCo | Talha Anjum | Talhah Yunus (Prod by. Jokhay),nhshYevehZg,2020-03-05T21:00:13Z,YoungStunners #PepsiCo #WithPurposeRap #TalhaAnjum #TalhahYunus #Jokhay Stream: https://ditto.fm/purpose-rap PepsiCo collaborated with Young ...,4403735,141691,1158,4426,0.1,0.4
21,Pepsi - Deewarein Giraana? | Why Not Meri Jaan,k1XI0LJVCFQ,2021-07-21T15:04:48Z,Agar khel khel mein deewarein gir sakti hain toh #WhyNotMeriJaan #BadmintonPepsi #NewRefreshingTaste.,6222088,2913,1077,106,0.0,0.0
22,Sara Haider | Zindagi | Episode 4 | Pepsi Battle of the Bands | Season 2,JFhYj1_x7D8,2017-08-20T07:10:27Z,Girl power at its best! Sara Haider makes her way to the Pepsi stage for the first time and makes the audience sway on their feet.,199469,2403,93,334,0.625,0.31666666666666665
23,EP | Hamesha | Episode 8 | Pepsi Battle of the Bands | Season 2,VF8gpEo-xv0,2017-09-17T13:40:56Z,"The comeback we were all secretly yearning for, Entity Paradigm (E.P), returns with a bang on stage as they perform 'Hamesha' on the Grand Finale!",2816998,23558,788,1692,0.04999999999999999,0.85
24,"Pepsi Commercial HD - We Will Rock You (feat. Britney Spears, Beyonce, Pink &amp; Enrique Iglesias)",W7jkygJ_QNo,2010-07-22T14:00:59Z,https://www.glassworksvfx.com The commercial is set in the Roman Coliseum. A gladiatorial combat between 3 lady gladiators is about to occur. They come out ...,39624463,361624,21549,18455,0.0,0.0
25,"Giant Coca Cola, Fanta, Sprite and Big Pepsi, Mirinda, 7up, Chupa Chups vs Mentos Underground",nFdtqA5ErnQ,2021-08-23T23:43:27Z,"Giant Coca Cola, Fanta, Sprite and Big Pepsi, Mirinda, 7up, Chupa Chups vs Mentos Underground.",NA,NA,NA,NA,0.0,0.55
26,PEPSI vs FANTA ! Mixing Random Things into Glossy Slime ! Satisfying Slime Video #176,NDfLyTNaACc,2020-05-29T13:41:34Z,Subscribe for More Videos: https://www.youtube.com/channel/UCf_yX_bCVxltI-xljSOXfAw/,33021270,273773,51712,10657,0.0,0.0
27,Coke Vs Pepsi,7rwL1Jzab0A,2019-07-29T14:00:00Z,"Let the Cola Wars begin! Both of these companies have earned themselves immense amounts of brand loyalty over the years, and we're going to examine both ...",460467,10078,1480,5053,0.0,1.0
28,Shakira &amp; J. Lo&#39;s FULL Pepsi Super Bowl LIV Halftime Show,pILCn6VO_RU,2020-02-03T01:49:25Z,"Shakira & J. Lo perform at the Super Bowl LIV Pepsi Halftime Show. Para más contenido de la NFL en Español, suscríbete a ...",212845114,3289027,180777,309928,0.3333333333333333,0.6666666666666666
29,Patla Dupatta Tera Muh Deekhe | Sapna Chaudhary &amp; Papsi | New Haryanvi Ragni 2018,JZ3ynx-fAHw,2018-07-28T10:38:06Z,"Title Song :- Patla Dupatta Tera Muh Deekhe Artist : sapna Chaudhary, pepsi sharma Song : Ragni.",40718646,156275,31033,4691,0.0,0.0
30,Minecraft NOOB vs PRO vs HACKER: PEPSI HOUSE BUILD CHALLENGE in Minecraft / Animation,Xq4dWO5SPEc,2021-04-17T05:00:16Z,Minecraft NOOB vs PRO vs HACKER HOUSE ➜Thumbs up^^ & Subscribe for more =) ➜Download houses: http://billionblocks.com ▽More Videos▽ ...,9441760,173238,8442,2934,0.0,0.0
31,"Experiment !! Stretch Armstrong VS Cola, Mtn Dew, Fruko, Pepsi, Fanta, Yedigün and Mentos in Toilet",FXsbK3nTJak,2020-05-17T06:30:02Z,"Experiment video : Stretch Armstrong VS Cola, Mtn Dew, Fruko, Pepsi, Fanta, Yedigün and Mentos in Toilet.",NA,NA,NA,NA,-0.03333333333333333,0.0
32,How to Build Money Operated Pepsi Vending Machine,LKpV352cGFE,2017-10-27T18:22:38Z,"How to Build Money Operated Pepsi Vending Machine In this video I show you how to build Money operated pepsi vending machine. All you need is cardboard, ...",27526169,77905,19553,1516,0.0,0.0
